Location,Year,Population,n.Year,n.Population
"Saratoga County, New York",2019,229863,n.2019,0.9
"Schenectady County, New York",2016,154475,n.2016,0
"Schenectady County, New York",2017,154710,n.2017,0.29
"Schenectady County, New York",2018,155079,n.2018,0.73
"Schenectady County, New York",2019,155299,n.2019,1
"Schoharie County, New York",2016,31304,n.2016,1
"Schoharie County, New York",2017,31255,n.2017,0.84
"Schoharie County, New York",2018,31146,n.2018,0.48
"Schoharie County, New York",2019,30999,n.2019,0
"Schuyler County, New York",2016,17967,n.2016,1
"Schuyler County, New York",2017,17913,n.2017,0.66
"Schuyler County, New York",2018,17884,n.2018,0.48
"Schuyler County, New York",2019,17807,n.2019,0
"Seneca County, New York",2016,34710,n.2016,1
"Seneca County, New York",2017,34246,n.2017,0.33
"Seneca County, New York",2018,34179,n.2018,0.23
"Seneca County, New York",2019,34016,n.2019,0
"Steuben County, New York",2016,96958,n.2016,1
"Steuben County, New York",2017,96360,n.2017,0.62
"Steuben County, New York",2018,95860,n.2018,0.3
"Steuben County, New York",2019,95379,n.2019,0
"Suffolk County, New York",2016,1486406,n.2016,1
"Suffolk County, New York",2017,1483358,n.2017,0.69
"Suffolk County, New York",2018,1480830,n.2018,0.43
"Suffolk County, New York",2019,1476601,n.2019,0
"Sullivan County, New York",2016,74922,n.2016,0
"Sullivan County, New York",2017,74994,n.2017,0.14
"Sullivan County, New York",2018,75399,n.2018,0.94
"Sullivan County, New York",2019,75432,n.2019,1
"Tioga County, New York",2016,48824,n.2016,1
"Tioga County, New York",2017,48609,n.2017,0.65
"Tioga County, New York",2018,48441,n.2018,0.38
"Tioga County, New York",2019,48203,n.2019,0
"Tompkins County, New York",2016,102942,n.2016,1
"Tompkins County, New York",2017,102664,n.2017,0.64
"Tompkins County, New York",2018,102419,n.2018,0.31
"Tompkins County, New York",2019,102180,n.2019,0
"Ulster County, New York",2016,179042,n.2016,1
"Ulster County, New York",2017,178635,n.2017,0.72
"Ulster County, New York",2018,178418,n.2018,0.58
"Ulster County, New York",2019,177573,n.2019,0
"Warren County, New York",2016,64438,n.2016,1
"Warren County, New York",2017,64365,n.2017,0.85
"Warren County, New York",2018,64215,n.2018,0.55
"Warren County, New York",2019,63944,n.2019,0
"Washington County, New York",2016,61795,n.2016,1
"Washington County, New York",2017,61559,n.2017,0.6
"Washington County, New York",2018,61274,n.2018,0.12
"Washington County, New York",2019,61204,n.2019,0
"Wayne County, New York",2016,90758,n.2016,1
"Wayne County, New York",2017,90429,n.2017,0.61
"Wayne County, New York",2018,90200,n.2018,0.34
"Wayne County, New York",2019,89918,n.2019,0
"Westchester County, New York",2016,970267,n.2016,1
"Westchester County, New York",2017,969689,n.2017,0.79
"Westchester County, New York",2018,968213,n.2018,0.26
"Westchester County, New York",2019,967506,n.2019,0
"Wyoming County, New York",2016,40432,n.2016,1
"Wyoming County, New York",2017,40282,n.2017,0.74
"Wyoming County, New York",2018,40023,n.2018,0.29
"Wyoming County, New York",2019,39859,n.2019,0
"Yates County, New York",2016,25059,n.2016,1
"Yates County, New York",2017,25002,n.2017,0.61
"Yates County, New York",2018,24951,n.2018,0.26
"Yates County, New York",2019,24913,n.2019,0
"Alamance County, North Carolina",2016,160283,n.2016,0
"Alamance County, North Carolina",2017,163276,n.2017,0.32
"Alamance County, North Carolina",2018,166514,n.2018,0.68
"Alamance County, North Carolina",2019,169509,n.2019,1
"Alexander County, North Carolina",2016,37133,n.2016,0
"Alexander County, North Carolina",2017,37143,n.2017,0.03
"Alexander County, North Carolina",2018,37331,n.2018,0.54
"Alexander County, North Carolina",2019,37497,n.2019,1
"Alleghany County, North Carolina",2016,10919,n.2016,0
"Alleghany County, North Carolina",2017,10988,n.2017,0.32
"Alleghany County, North Carolina",2018,11138,n.2018,1
"Alleghany County, North Carolina",2019,11137,n.2019,1
"Anson County, North Carolina",2016,25165,n.2016,1
"Anson County, North Carolina",2017,24829,n.2017,0.53
"Anson County, North Carolina",2018,24470,n.2018,0.03
"Anson County, North Carolina",2019,24446,n.2019,0
"Ashe County, North Carolina",2016,26600,n.2016,0
"Ashe County, North Carolina",2017,26787,n.2017,0.31
"Ashe County, North Carolina",2018,27099,n.2018,0.83
"Ashe County, North Carolina",2019,27203,n.2019,1
"Avery County, North Carolina",2016,17442,n.2016,0
"Avery County, North Carolina",2017,17517,n.2017,0.65
"Avery County, North Carolina",2018,17528,n.2018,0.75
"Avery County, North Carolina",2019,17557,n.2019,1
"Beaufort County, North Carolina",2016,47369,n.2016,1
"Beaufort County, North Carolina",2017,47033,n.2017,0.1
"Beaufort County, North Carolina",2018,47056,n.2018,0.17
"Beaufort County, North Carolina",2019,46994,n.2019,0
"Bertie County, North Carolina",2016,19423,n.2016,1
"Bertie County, North Carolina",2017,19263,n.2017,0.66
"Bertie County, North Carolina",2018,19106,n.2018,0.33
"Bertie County, North Carolina",2019,18947,n.2019,0
"Bladen County, North Carolina",2016,33638,n.2016,1
"Bladen County, North Carolina",2017,33443,n.2017,0.79
"Bladen County, North Carolina",2018,33151,n.2018,0.47
"Bladen County, North Carolina",2019,32722,n.2019,0
"Brunswick County, North Carolina",2016,126304,n.2016,0
"Brunswick County, North Carolina",2017,130859,n.2017,0.28
"Brunswick County, North Carolina",2018,136880,n.2018,0.64
"Brunswick County, North Carolina",2019,142820,n.2019,1
"Buncombe County, North Carolina",2016,254955,n.2016,0
"Buncombe County, North Carolina",2017,257071,n.2017,0.34
"Buncombe County, North Carolina",2018,259259,n.2018,0.69
"Buncombe County, North Carolina",2019,261191,n.2019,1
"Burke County, North Carolina",2016,89451,n.2016,0
"Burke County, North Carolina",2017,90157,n.2017,0.68
"Burke County, North Carolina",2018,90405,n.2018,0.92
"Burke County, North Carolina",2019,90485,n.2019,1
"Cabarrus County, North Carolina",2016,201639,n.2016,0
"Cabarrus County, North Carolina",2017,206988,n.2017,0.36
"Cabarrus County, North Carolina",2018,211597,n.2018,0.67
"Cabarrus County, North Carolina",2019,216453,n.2019,1
"Caldwell County, North Carolina",2016,81766,n.2016,0
"Caldwell County, North Carolina",2017,81933,n.2017,0.41
"Caldwell County, North Carolina",2018,82026,n.2018,0.63
"Caldwell County, North Carolina",2019,82178,n.2019,1
"Camden County, North Carolina",2016,10397,n.2016,0
"Camden County, North Carolina",2017,10532,n.2017,0.29
"Camden County, North Carolina",2018,10676,n.2018,0.59
"Camden County, North Carolina",2019,10867,n.2019,1
"Carteret County, North Carolina",2016,68808,n.2016,0
"Carteret County, North Carolina",2017,68921,n.2017,0.17
"Carteret County, North Carolina",2018,69438,n.2018,0.95
"Carteret County, North Carolina",2019,69473,n.2019,1
"Caswell County, North Carolina",2016,22755,n.2016,1
"Caswell County, North Carolina",2017,22616,n.2017,0.08
"Caswell County, North Carolina",2018,22634,n.2018,0.2
"Caswell County, North Carolina",2019,22604,n.2019,0
"Catawba County, North Carolina",2016,156448,n.2016,0
"Catawba County, North Carolina",2017,157852,n.2017,0.45
"Catawba County, North Carolina",2018,158687,n.2018,0.72
"Catawba County, North Carolina",2019,159551,n.2019,1
"Chatham County, North Carolina",2016,69642,n.2016,0
"Chatham County, North Carolina",2017,71189,n.2017,0.32
"Chatham County, North Carolina",2018,73127,n.2018,0.72
"Chatham County, North Carolina",2019,74470,n.2019,1
"Cherokee County, North Carolina",2016,27809,n.2016,0
"Cherokee County, North Carolina",2017,27954,n.2017,0.18
"Cherokee County, North Carolina",2018,28369,n.2018,0.7
"Cherokee County, North Carolina",2019,28612,n.2019,1
"Chowan County, North Carolina",2016,14201,n.2016,1
"Chowan County, North Carolina",2017,14029,n.2017,0.33
"Chowan County, North Carolina",2018,14065,n.2018,0.47
"Chowan County, North Carolina",2019,13943,n.2019,0
"Clay County, North Carolina",2016,10749,n.2016,0
"Clay County, North Carolina",2017,11004,n.2017,0.53
"Clay County, North Carolina",2018,11124,n.2018,0.78
"Clay County, North Carolina",2019,11231,n.2019,1
"Cleveland County, North Carolina",2016,96960,n.2016,0
"Cleveland County, North Carolina",2017,97134,n.2017,0.18
"Cleveland County, North Carolina",2018,97519,n.2018,0.57
"Cleveland County, North Carolina",2019,97947,n.2019,1
"Columbus County, North Carolina",2016,56292,n.2016,1
"Columbus County, North Carolina",2017,56047,n.2017,0.69
"Columbus County, North Carolina",2018,55819,n.2018,0.4
"Columbus County, North Carolina",2019,55508,n.2019,0
"Craven County, North Carolina",2016,102632,n.2016,1
"Craven County, North Carolina",2017,102492,n.2017,0.72
"Craven County, North Carolina",2018,102338,n.2018,0.4
"Craven County, North Carolina",2019,102139,n.2019,0
"Cumberland County, North Carolina",2016,333167,n.2016,0.48
"Cumberland County, North Carolina",2017,330994,n.2017,0
"Cumberland County, North Carolina",2018,333430,n.2018,0.54
"Cumberland County, North Carolina",2019,335509,n.2019,1
"Currituck County, North Carolina",2016,25640,n.2016,0
"Currituck County, North Carolina",2017,26290,n.2017,0.31
"Currituck County, North Carolina",2018,27016,n.2018,0.65
"Currituck County, North Carolina",2019,27763,n.2019,1
"Dare County, North Carolina",2016,35829,n.2016,0
"Dare County, North Carolina",2017,36199,n.2017,0.31
"Dare County, North Carolina",2018,36607,n.2018,0.66
"Dare County, North Carolina",2019,37009,n.2019,1
"Davidson County, North Carolina",2016,164270,n.2016,0
"Davidson County, North Carolina",2017,165180,n.2017,0.27
"Davidson County, North Carolina",2018,166358,n.2018,0.63
